MO - Consistencia - Cargos con lote inconsistente ,Cargos con lote inconsistente (no figura el cargo en ERP_CARGO o el id de lote es nulo)
MO-OperacionesPS500$(8am),Operaciones de PS > 500$ (entre las 16pm del dia anterior y las 8am de hoy)
MO-OperacionesPS>500$(16pm),Operaciones de PS > 500$ (entre las 8am del dia de hoy y las 16pm)
MO - Reporting - Usuarios sin compras,Usuarios sin compras registrados en un rango de fechas
MO - Moderacion - Reporte de moderacion por usuario,Reporte de moderacion por usuario
MO - Moderacion - Reporte de moderacion por aviso,Reporte de moderacion por aviso
MO - MENSUAL GMS,Ejecutar los dias 1. Parametros del 1 al 31 del mes anterior
MO - Reporting - Movimientos en la cuenta de un usuario,Movimientos en la cuenta de un usuario (ERP_MOVIMIENTO)
MO - Reporting - Saldos,Movimientos en la cuenta de un usuario (ERP_MOVIMIENTO)
MO - Consistencia - Movimientos duplicados en cuenta,Movimientos duplicados en cuenta
MO - Reporting - Pagos de NPS ,Pagos de NPS
MO - Reporting - Pagos de DM,Pagos de DM
MO - Reporting - Pagos de PS,Pagos de PS
MO - Facturacion - Detalle,Detalle de Facturacion
MO - Cargos - Detalle,Detalle de Cargos
MO - Reporting - Movimientos de un aviso,Movimientos de un aviso
DESA MO - Cargos - Resumen - BACK,Resumen de Cargos
MO - Facturacion - Resumen,Resumen de Facturacion
MO - Consistencia - Cargos de PS, con mediacion resuelta a favor del vendedor, sin pago creado,Cargos de PS, con mediacion resuelta a favor del vendedor, sin pago creado
MO - Verificacion PDF con fecha proceso de hoy,verifica la tabla sacar.erp_pdf_seq
MO-Ventas de Ayer x Tipo Usuario (Reporte Diario 2),Ventas de Ayer x Tipo Usuario (Reporte Diario 2)
MO - DIARIO Verificacion proceso Estatificador,Informa la cantidad de avisos sin estatificar
MO - Consistencia - Avisos en categoria no hoja,Avisos en categoria no hoja
MO - Reporting - Mails enviados a un usuario ,Mails enviados a un usuario
MO - Reporting - Reporte de cargos,Reportes de cargos (filtros de idusuario, apodo, fechas, tipo cargo, estado)
MO - Facturacion - Control pre facturacion,Reporte de cargos enlotados
MO - Facturacion - Cargos confirmados no enlotados de usuarios suspendidos ,Cargos confirmados no enlotados de usuarios suspendidos 
MO - Pago Seguro - Cantidad de avisos activos con PS,Cantidad de avisos activos con Pago Seguro
