name,parameter_id,"case rpm.required when 1 then 'YES' else 'NO'end",sort_order,step
"Club Cupon - Pagos por fecha de deal",86,YES,0,0
"Club Cupon - Reporte Vendedores - Julieta",86,YES,0,0
"Club Cupon - Reporte diario Administracion",86,YES,0,0
"Club Cupon - Reporte diario Administracion sin medios de pago",86,YES,0,0
"Club Cupon - Subscripciones",86,YES,2,0
"Club Cupon - Subscripciones diarias",86,YES,2,0
"Club Cupon - Subscripciones diarias voluntarias - Gonzalo",86,YES,0,0
"Club Cupon - Transacciones por día y hora",86,YES,0,0
"Club Cupon - Perfiles completados entre fechas",86,YES,1,0
"Club Cupon - Utilizacion de monedero",86,YES,1,0
"Club Cupon - Subscripciones",87,YES,4,0
"Club Cupon - Usuarios",101,YES,0,0
"Club Cupon - Perfiles de usuarios (por atributo)",25,YES,0,0
"Club Cupon - Perfiles de usuarios agrupado",25,YES,0,0
"Club Cupon - Usuarios",102,YES,0,0
"Club Cupon - Transacciones",32,NO,0,0
"Club Cupon - Reporte diario Administracion",28,NO,2,0
"Club Cupon - Reporte diario Administracion sin medios de pago",28,NO,2,0
"Club Cupon - Cupones vendidos",116,YES,2,0
"Club Cupon - Reporte Vendedores - Julieta",96,YES,0,0
"Club Cupon - Transacciones (Referidos)",96,YES,0,0
"Club Cupon - Usuarios",96,YES,0,0
"Club Cupon - Cupones vendidos",117,YES,3,0
"Club Cupon - Usuarios",98,YES,0,0
"BAC - Devengamiento - Detalle",21,NO,0,0
"BAC - Devengamiento - Resumen",21,NO,0,1
"BAC - Clientes - Listado de clientes",8,NO,6,0
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ",19,NO,4,0
"BAC - Log - Procesos",13,YES,0,0
"BAC - Log - Procesos",14,YES,0,0
"BAC - Log - Procesos",12,YES,0,0
"BAC - Devengamiento - Detalle",22,NO,0,0
"BAC - Devengamiento - Resumen",22,NO,1,1
"BAC - Cuenta Corriente - Resumen de Pagos",71,YES,1,0
"BAC - Controles - Usuarios enviados a Presea que nunca volvieron con OK",3,YES,0,0
"BAC - Devengamiento - Resumen",3,YES,0,0
"BAC - Cuenta Corriente - Listado de Ventas por producto",3,YES,0,0
"BAC - Cuenta Corriente - Resumen de Pagos",3,YES,0,0
"BAC - Pines - Listado de retailes",3,YES,0,0
"BAC - Productos - Lista de precios",3,YES,0,0
"BAC - Controles - Cargos sin respuesta de Presea",3,YES,0,0
"BAC - Clientes - Listado de clientes",3,YES,1,0
"BAC - Cuenta Corriente - Listado de cargos",3,YES,1,0
"BAC - Controles - Usuarios con mas de 1 pago en el dia",3,YES,0,0
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ",3,YES,1,0
"BAC - Devengamiento - Detalle",15,YES,0,0
"BAC - Devengamiento - Resumen",23,YES,2,1
"BAC - Productos - Lista de precios",23,YES,0,1
"BAC - Clientes - Listado de clientes",7,YES,3,0
"BAC - Pines - Listado de paquetes por retailer",9,YES,0,0
"BAC - Pines - Listado de pines",9,YES,0,0
"BAC - Cuenta Corriente - Listado de cargos",16,YES,4,0
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ",17,YES,3,0
"BAC - Clientes - Listado de clientes",6,YES,2,0
"BAC - Pines - Listado de paquetes por retailer",10,YES,2,0
"Confronte - Facturación  - Consulta cambios presupuesto ",35,YES,0,0
"Confronte - Consulta Clementina categoría sin confirmar por tienda",36,YES,0,0
"Confronte - Consulta bind job categoría",36,YES,0,0
"Confronte - Listado de ofertas sin bindear (filtro por categoria)",36,YES,0,0
"Confronte - Reporte control de precios",36,YES,0,0
"Confronte - Búsquedas sin resultados",34,YES,0,0
"Confronte - Facturación  - Consulta cambios presupuesto ",34,YES,0,0
"Confronte - Status Crawlers ",34,YES,0,0
"Confronte - Reporte control de precios",37,YES,0,0
"Confronte - Busquedas de palabras determinadas",104,YES,0,0
"MO - Administracion Datos Facturación",42,NO,0,0
"MO - Verificacion Replicador HTML y Resize de Imagenes",39,NO,0,0
"MO - LOTES_ENVIADOS_A_FACTURAR",112,YES,0,0
"Shop1 MG - Ventas / Intentos de pago",112,YES,0,0
"MO - LOTES_ENVIADOS_A_FACTURAR",113,NO,0,0
"Shop1 MG - Ventas / Intentos de pago",113,NO,1,0
"MO - Cargos - Resumen",48,NO,0,0
"DESA MO - Cargos - Resumen - BACK",59,YES,0,0
"MO - Mails Enviados - Resumen",60,NO,0,0
"MO - Mails Enviados - Detalle",60,NO,0,0
"MO - Cargos - Resumen",50,NO,0,0
"MO - Facturacion - Detalle",61,NO,0,0
"MO - Cargos - Detalle",61,NO,0,0
"MO - Facturacion - Resumen",61,NO,0,0
"MO - Mails Enviados - Detalle",61,NO,0,0
"MO - Cargos - Detalle",62,NO,0,0
