SYZSP020 ,"  uxlst upr upr=SYZSP020  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSP020 ,"Control & Normalisation - RECEPTION"
SYZSP025 ,"  uxlst upr upr=SYZSP025  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSP025 ,"Post - RECEPTION - APAT"
SYZSP030 ,"  uxlst upr upr=SYZSP030  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSP030 ,"Correction Adresses - RECEPTION -"
SYZSP040 ,"  uxlst upr upr=SYZSP040  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSP040 ,"Alimentation - APAT - FU_L_SOCIETE"
SYZSPRLS ,"  uxlst upr upr=SYZSPRLS  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSPRLS ,"Libére la ressource - RECEPTION"
SYZSPU89 ,"  uxlst upr upr=SYZSPU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSPU89 ,"Poste de fin - RECEPTION"
SYZSQU09 ,"  uxlst upr upr=SYZSQU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQU09 ,"Poste de début - RECEPTION"
SYZSQHLD ,"  uxlst upr upr=SYZSQHLD  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQHLD ,"hold ressource   "
SYZSQREB ,"  uxlst upr upr=SYZSQREB  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQREB ,"Rebond - RECEPTION - APAT"
SYZSQT00 ,"  uxlst upr upr=SYZSQT00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQT00 ,"Transfert - RECEPTION - APAT"
SYZSQC00 ,"  uxlst upr upr=SYZSQC00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQC00 ,"Collecte - RECEPTION - APAT"
SYZSQM00 ,"  uxlst upr upr=SYZSQM00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQM00 ,"Mise a dispo - RECEPTION"
SYZSQZ00 ,"  uxlst upr upr=SYZSQZ00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQZ00 ,"Desempaquetador - APAT - FU-EM_L_SOCIETE"
