1165213|777|1|20081230|MO|16127|FCA|400000928|1|6|1.50
1165213|777|1|20081230|MO|18741|FCA|400000929|1|6.81|1.50
1143315|777|1|20081230|MO|16172|FCA|400000932|1|1.58|1.50
1143315|777|1|20081230|MO|18778|FCA|400000933|1|2.04|1.50
1170019|777|1|20081230|MO|17584|FCA|400000935|1|2.5|1.50
1184114|777|1|20081230|MO|17583|FCA|400000938|1|3.71|1.50
1217932|777|1|20081230|MO|18744|FCA|400000946|1|2.4|1.50
1192069|777|1|20081230|MO|16120|FCA|400000947|1|4.27|1.50
1135330|777|1|20081230|MO|16090|FCA|400000958|1|1.55|1.50
1245792|777|1|20081230|MO|19123|FCA|400000962|1|1.55|1.50
1253438|777|1|20081230|MO|16102|FCA|400000964|1|3.01|1.50
1285096|777|1|20081230|MO|17588|FCA|400000970|1|5.08|1.50
1323469|777|1|20081230|MO|17624|FCA|400000972|1|5.02|1.50
92674|777|1|20081230|MO|17592|FCA|400000974|1|4.35|1.50
1370705|777|1|20081230|MO|16130|FCA|400000983|1|1.69|1.50
1370705|777|1|20081230|MO|18743|FCA|400000984|1|4.6|1.50
1428616|777|1|20081230|MO|16097|FCA|400000991|1|6.85|1.50
1428616|777|1|20081230|MO|18715|FCA|400000993|1|22.85|1.50
10002668|777|1|20081230|MO|17805|FCA|400001001|1|7.2|1.50
1547680|777|1|20081230|MO|16869|FCA|400001009|1|1.53|1.50
781897|777|1|20081230|MO|17597|FCA|400001011|1|12.98|1.50
10121365|777|1|20081230|MO|18070|FCA|400001040|1|27.43|1.50
10164570|777|1|20081230|MO|18225|FCA|400001046|1|1.79|1.50
10181349|777|1|20081230|MO|16653|FCA|400001049|1|1.65|1.50
10266175|777|1|20081230|MO|16142|FCA|400001058|1|4.41|1.50
10266175|777|1|20081230|MO|17547|FCA|400001059|1|2.42|1.50
10266175|777|1|20081230|MO|18754|FCA|400001060|1|8.42|1.50
10326419|777|1|20081230|MO|16144|FCA|400001068|1|8.47|1.50
10326419|777|1|20081230|MO|18756|FCA|400001069|1|15.01|1.50
10341893|777|1|20081230|MO|16024|FCA|400001070|1|2.72|1.50
10341893|777|1|20081230|MO|16383|FCA|400001071|1|2.82|1.50
10341893|777|1|20081230|MO|17381|FCA|400001072|1|2.64|1.50
10341893|777|1|20081230|MO|18011|FCA|400001073|1|2.53|1.50
10341893|777|1|20081230|MO|18403|FCA|400001074|1|2.7|1.50
10341893|777|1|20081230|MO|19322|FCA|400001075|1|2.68|1.50
10504582|777|1|20081230|MO|16168|FCA|400001090|1|1.58|1.50
10496330|777|1|20081230|MO|16660|FCA|400001093|1|1.52|1.50
10450079|777|1|20081230|MO|18770|FCA|400001096|1|19.64|1.50
10531521|777|1|20081230|MO|15799|FCA|400001102|1|6.39|1.50
10599506|777|1|20081230|MO|16894|FCA|400001109|1|5.71|1.50
1200335|777|1|20081230|MO|16256|FCA|400001117|1|9.23|1.50
10434254|777|1|20081230|MO|16887|FCA|400001123|1|8.71|1.50
10648973|777|1|20081230|MO|18237|FCA|400001126|1|14.06|1.50
10648622|777|1|20081230|MO|17398|FCA|400001131|1|51.54|1.50
1370042|777|1|20081230|MO|16082|FCB|400012948|1|179.96|1.50
1370042|777|1|20081230|MO|18702|FCB|400012950|1|10.46|1.50
10103320|777|1|20081230|MO|16408|FCB|400013333|1|9.5|1.50
10178347|777|1|20081230|MO|18450|FCB|400013413|1|8.72|1.50
10188518|777|1|20081230|MO|16134|FCB|400013436|1|18.5|1.50
10188518|777|1|20081230|MO|18747|FCB|400013438|1|30.13|1.50
10238075|777|1|20081230|MO|16148|FCB|400013508|1|7.1|1.50
10417663|777|1|20081230|MO|17159|FCB|400013671|1|7.81|1.50
10637794|777|1|20090216|MO|26682|FCA|500000611|1|3.16|1.50
1188201|777|1|20090227|MO|29893|FCA|500000655|1|1.84|1.50
781897|777|1|20090227|MO|32334|FCA|500000701|1|8.3|1.50
10637794|777|1|20090227|MO|31866|FCA|500000781|1|1.8|1.50
10055810|777|1|20090216|MO|28750|FCB|500006536|1|1.93|1.50
10520034|777|1|20090227|MO|32146|FCB|500009073|1|2.23|1.50




